,loss_values
0,1667.5211181640625
1,1536.2239990234375
2,1492.2972412109375
3,1504.271240234375
4,1479.3853759765625
5,1375.6712646484375
6,1519.3385009765625
7,1403.841552734375
8,1466.21240234375
9,1430.2095947265625
10,1469.9942626953125
11,1420.426513671875
12,1409.2227783203125
13,1453.45703125
14,1422.7974853515625
15,1349.54345703125
16,1367.86865234375
17,1384.3470458984375
18,1353.5989990234375
19,1328.6190185546875
20,1289.2646484375
21,1304.91748046875
22,1285.2508544921875
23,1265.843017578125
24,1234.813720703125
25,1360.242919921875
26,1336.96337890625
27,1231.0240478515625
28,1294.4168701171875
29,1313.1943359375
30,1229.5316162109375
31,1205.0235595703125
32,1217.008544921875
33,1241.2786865234375
34,1228.075439453125
35,1181.9141845703125
36,1215.138916015625
37,1236.0048828125
38,1199.2828369140625
39,1222.7799072265625
40,1227.40576171875
41,1237.0616455078125
42,1238.3856201171875
43,1176.16650390625
44,1188.3543701171875
45,1202.0863037109375
46,1188.414306640625
47,1137.2137451171875
48,1222.0911865234375
49,1152.39013671875
50,1145.4111328125
51,1190.19287109375
52,1135.7861328125
53,1184.0177001953125
54,1109.7530517578125
55,1138.04833984375
56,1118.2730712890625
57,1165.2325439453125
58,1149.6455078125
59,1144.8424072265625
60,1100.1591796875
61,1090.24560546875
62,1135.784423828125
63,1110.129638671875
64,1129.057861328125
65,1130.7325439453125
66,1078.8284912109375
67,1162.1044921875
68,1131.2686767578125
69,1057.2054443359375
70,1049.4207763671875
71,1069.6817626953125
72,1074.9278564453125
73,1036.4449462890625
74,1065.1087646484375
75,1104.4512939453125
76,1104.64599609375
77,1084.5018310546875
78,1046.673828125
79,1063.44140625
80,1060.6759033203125
81,1049.0035400390625
82,1098.5220947265625
83,1045.2279052734375
84,1133.7431640625
85,1060.61474609375
86,1075.17138671875
87,1046.9097900390625
88,1052.42041015625
89,1083.1231689453125
90,1096.0809326171875
91,1053.8941650390625
92,1055.5399169921875
93,1064.610595703125
94,1070.23095703125
95,1043.6810302734375
96,1032.001220703125
97,1046.0245361328125
98,1029.2171630859375
99,1040.125244140625
100,1021.2523803710938
101,1054.8653564453125
102,997.237060546875
103,998.8803100585938
104,1025.6142578125
105,987.02099609375
106,1022.9674682617188
107,1030.7327880859375
108,1008.3143920898438
109,981.796630859375
110,1000.5144653320312
111,988.8472900390625
112,1037.214111328125
113,1035.504638671875
114,1025.728271484375
115,1012.6643676757812
116,1024.9613037109375
117,970.5042114257812
118,1018.1049194335938
119,1034.687744140625
120,974.0846557617188
121,995.1978759765625
122,1005.9307861328125
123,1011.8887329101562
124,995.6505737304688
125,979.28076171875
126,1000.7037963867188
127,1004.9092407226562
128,1036.43017578125
129,996.2439575195312
130,1006.4652709960938
131,985.8550415039062
132,1023.0653686523438
133,1000.267333984375
134,956.2708740234375
135,1007.9127807617188
136,964.2471923828125
137,995.0494995117188
138,987.5750732421875
139,981.56689453125
140,972.6493530273438
141,991.0732421875
142,991.2237548828125
143,970.3038330078125
144,995.6657104492188
145,981.5201416015625
146,983.2216796875
147,952.7664184570312
148,974.9144897460938
